,Comment
324,"जब तुम ये सब जानते हो तो तुमने काल्पनिक कहानी के सबुत देने का प्रयास किसलिऐ किया था ,जबकी तुमको सब पता था ,फिर भी उस कहानी के झुठे प्रमाण दे रहे थे ,उस पर तुम्हारी फजीती तो खुब हुई और तुम्हारे ऊपर विडियो भी बन ग‌ई और तुम उसमे झुठे साबित हुऐ ,इसलिऐ अगली बार धर्म पर ज्ञान मत देना ।"
325,Dhruv your videos very knowledge full
326,डाइनोसर तो एक मिथ है इसके बारेमे कोहि भी सबुत नही मिलराहा है
327,U are great
328,The 6th extinction is 100 to 1000 times more impactful than the previous ones..
329,"Triassic, jurassic .... Class 12th Evolution 🧬 Bro 😂😂😂😂<br>Revise hogaya BTW, thank you 😅"
330,pls make video on Anne frank
331,Earth&#39;s Birth &amp; Ghrowth to complete guide this Video... Thanks
332,WoW you have a very informative brain Mashallah
333,Pehele khatam hoga
334,Humans would extinct in the span of Less than 1 million years .... Due to excessive global climatic disturbances made to the earth 😢....
335,Nasa wale bahut khatarnak hai 😂😂😂😂😂😂😂😂😂
336,❤❤❤❤❤
337,Is vedio ko dekh k patà chala Islam ek truth hai religion hai. Dianasour k lye woh qayamat ka din tha. Islam mein bhi bataya gaya hai ki ek din Qayamat ayegi woh din bhi dianasour k time ki tarha ho hoga jis din hum sab extinct ho jayenge.
338,Tere jesa deah drohi nai rahe to inshan jinda rehenge
339,"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=984"">16:24</a> bhai ki hansi ❤❤❤"
340,That&#39;s mean our future going to change and one day human not live Earth 😊😊
341,Tu kuchh bhi nahin jaanta mere Bhai kuchh bhi nahin jaanta tu kuchh bhi nahin jaanta 😡
342,😡😡😡😡💪
343,Addicted to Dhruv Exceptional videos ❤
344,😅😅
345,I belong gond tribe
346,Science to jhote b bolta hei
347,"Super duper Hero 💪💪💪👏🆒😎❤❤❤❤❤❤ <a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=44"">0:44</a> <a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=44"">0:44</a> 😊😊😊😊😊"
348,kabhi mare huye jinda huye h news me suna he please describe it what will happen in kanpur
349,This is one of the best informational video I have ever seen❤️👍🔥
350,Humans won&#39;t survive more than 1 million 😂
351,वह जंगह छुपा दी गई है😊😊
352,Ha
353,Please make a video on Simpsons predictions
354,Lauraisa 😂
355,Gratitude 🙏
356,Pokémon spotted
357,Kya iss puree video me tumnee ek chiz notice kya-<br>Survival of the fittest (chals darvin)
358,It is true Dinasaur Exist in the world 100 million years ago
359,This video sponsored by ark survival evolved primal fear 😂
360,Bhai maza agya apki video dekh ke❤
361,Ap Boht zaheen ho is video ko bna k bhi ap ko Kya lagta ha k ye sb Kuch khud ba khud hua ya Allah ha Jo ye sb krta ha r wo aik ha only one and so powerful
362,"This is the clock of earth that returns again and again. In cyclic order. Satya juga, treta, dapar, kali, and again satya yuga"
363,Extinction happened before because of the Sun only. Veda me bataye gaye kaliyuga sabse chota he.
364,We can&#39;t break the record of DINOSAURS.
365,We should protect mother earth by observing 15 days of masterly inactivity of humans in a year
366,Very Educational
367,SCIENCE 🔬 KA SAB RAZZ OR SUSPENCES  BATAUNGA<br><br>FREE 🆓 POST 📪 FREE POST <br>NO CHARGES NO 🚫 COST<br><br>DEAR 💕 SIR/MEDAM <br>GOOD 👍 MORNING 🌄🌕<br>HAPPY NEW YEAR 0 2024<br>ALL THE BEST 👍💯 BETTAR &amp; BEAUTIFUL 💓 DUNIYA<br>JAIN 24 MAHAVEER GANDHI<br><br>EK VISHAL BRAHMAND ME BRAHMAJI NE ANTARIKSH ME NAV BADE BADE VISHAL GRAHO ME ALAG ALAG NAV GAS ⛽ SE BHARPOOR SHAKTI DIYA HAI OR HAREK GRAHO APNI SHAKTI YANI GAS SOORAJ CHANDRA OR PRUTHVI LOK KO INPUT OR OUT PUT SE DETA HAI OR CO2  H2O SE VAPIS RETURN HO JATA HAI<br>HAREK MEGENT  GRAVITATION  ROUNDABLE REDIATION SE WORK KARTA HAI <br>SOORAJ RED 🔴 COLOUR<br>CHANDRA BLUE 🔵 COLOUR<br>PRUTHVI  GREEN 🌳 COLOUR<br>SE  <br>PANI H2O  WHITE OR SONERI SAT COLOUR<br> OR CO2 BLACK ⚫<br>SE SAB CHALTA HAI OR<br> CHALATA HAI <br><br>PRUTHVI LOK KI SAB  H2O SE BOL OR ABOL OR PASHU PANKHI KI GANDKI OR KACHRA OR CO2 SE CHOTA JIV OR PANI KE SAB JIV JANAM LETA HAI OR SHORT TIME KA JIVAN HOTA HAI. <br><br>ALL APNI COMMENTS OR VICHARO MEDIA ME KAHO<br><br>NEXT FREE POST 📪 ME SAB RAZZ OR SUSPENCES BATAUNGA. <br><br>JAY HIND<br>JAIN 24  MAHAVEER GANDHI
368,Damnnn!!! This man🥹💘
369,2079‼️🚫⚠️
370,Kya aap jab D W jo vidios dalate h aap bhi wahi vidio why vidio kuch adage daliye👍
371,That was fantastic Dhruv
372,Bhai jobhi ho meri last wist toh ek hi hai aur wo hai smarty aur dhruv sir se milna hai
373,I think vhagar in House of dragon is similar in shape of T rex
374,He is very intelligent really
375,Salute to your hard work
376,1 million se pehele ho jayenge insano khatam
377,Aali mai mai muslim ho aur ham 189 lakh se hai aur hum bander kabe nahi the ham mati se baney
378,Record nahi thod ga because humans produce lots of pollution and 2
379,Camera man never dies 🤣🤣🫡
380,zaruri to hai bt aj humare a66e rehene se jyada humare zaruraton ko pura kene k liye humein jitna chahiye usse kahi jyada waste hote hain. koi samajhte nehi yea sab. sirf paisa chahiye a66e ph uspe a66e show game a66a gari a66a ghar  chahiye. Insaano ko toh animals ka koi fikr he nhi hai. bohat cruel a hum insaan....
381,Thank you
382,Wow 🥺🥺🥺🥺👌👌👌👌👌👌
383,Dhruv bhai ye insaan to 0.5 million years bhi mushkil se nikal payenge ❤😂❤
384,"I came to watch a few mins of this video, and got so hooked, ended up watching his entire series of 3 videos on evolution, and now it&#39;s 3 am at night.<br>Imagine teaching like this in schools &amp; universities, education will never be boring, and become so fruitful for students. You just earned another subscriber sir."
385,sir neet syllabus k according video banao na har chapter k 🙂❤
386,John munsay fir
387,Insan khud hi apna extinction kar lega. Koi estroid bahar se nhi ayega. Na hi hamara sun ek red gient banega. Ulta hum hi gient ki tarah is khubsoorat planet ko kha jayenge. <br>Dusra planet search krne se acha ha isi planet ko bacha lo to time or pesa dono bach jayega. <br>Baaki sab har har mahadev
388,😊😊😊<br>😊😊😊
389,Respect button ❤
390,Ek video iske research pr banao Dhruv bhai ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
391,Fukra insaan the king of YouTube
392,Bahut he muskil h
393,"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=625"">10:25</a> size 10-15 Kilometres???? Size in Km😶"
394,Nice
395,"Mr Rathe,e Biggest Extinction was Permian Triassic Extinction not Creatacous Tertiary Extinction of Dinosaurs."
396,डायनासोर मेरे आगे आऐ थे हमारे भारत। मे संत युग कहते हैं तो पहले क्या। था भाई मेरे बना सको तो वीडीयो जरुर बना ना तो हमें भी पता चले आखीर माजरा क्या है
397,Good
398,Dinosaur pollution nahi failate the isile itna tym tk rah gyee
399,"Bro make video on how people who don’t want to an Indian, left the country for good! But Indians trapped him in foreign land…this is your kind!"
400,Salam bhai aapko 😊😊
401,He is the best explainer 👏👏
402,Iss hutiye ko maine hide karke rakkha hua tha... Haala sab jaanta hai... Vlodie onlinee scientist.
403,😊😊😊😊❤❤
404,Best video 📸
405,Sir एक वीडियो इस पर बनाये की पहले अंडा आया या मुर्गी मै उम्मीद करता हु की आप इसकी जानकारी जरूर देंगे 🙏🙏🙏
406,❤️🌺🌹🌍🙏
407,2gb ram
408,The energy of the asteroid =3.47×10²² Joules 😮😮😮😮😮 Can you imagine how big this energy😮😮😮
409,Ritik
410,Sir aap logo ko itni detail me kese pata hai mujhe aaj tak samajh nhi aaya 😅😂
411,Fact : Human species will be over too someday just like gods other creation😊
412,yr koi 2 million subscribers manu vi kal do🤣😂🤫🤭
413,"It is impossible for humans to spend as much time as dinosaurs on this Earth, because we humans are exploiting this Earth with our eyes closed."
414,You are Legend
415,Salute Bro. U r my Fav.ever
416,I love my earth 🌎🌎🌎❤❤❤
417,😢
418,Nice sir ❤❤❤❤❤
419,Dinosaur ki dead kis hui ye to bta dia but jisse hui ajtak uski  pics to dikhai tk nhi uss comets ya astroid ko jisse dinosaur ka vinash hua
420,Good information bro
421,Ho jaye to achha hai
422,😢😢
423,"Isse ye pata chalta hai ki hum humans are not the king of ruler of earth the real king and owners sof earth are animals, jo Earth ko balanced rakhte hai , hum unki virasat hai , ha hum tarakki karte toh hai but unn se jyada na tik payenge na balance bana sakhte hai they were the king and ruler of earth"
424,"Ye mangal ग्रह से Astroiyst aaya tha jo ki janbhujh kar giraya gya tha iske pichhe real story thi, wo v एलीन  लोग द्वारा giraya gya tha. Eliens चाहते थे की, is earth par sirf intelligent human hi hona chahiye isiliye giraya gya. 🧿🧿🧿🧿🙏🙏🙏🤞🤞डिनासौर ko hattane ke liye क्योंकि, unki jaati kuch jyada badh gyi thi."
425,When qayamat came everything in the universe will be extinct
426,Save to hasdeo arand i am from india
427,Nature ko bina hani pahuchaye insan ji sakta hai
428,Hum soye hua hai.hum jage nahi hai😂 abhi tak
429,Bhai tu Ball charte charte Dayanasor kase charne laga😂😂😂😂😂😂
430,👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌
431,😢😢😢😢
432,Is dhamaka ka zikar hamari kitab  Quraan Shareef me 1400 saal pahle bata Diya gaya tha😊❤❤🎉
433,insan pehlay he mr jay ga
434,tumne dekha hai kya ye dinosaur  v myth hai like ramayana mahavarat .
435,Kya bolu thanks
436,inlog ka gyan hona bhi jaruri tha nahi hotey toh insan paida nahi hota hota bhi mardetey yr log
437,❤❤❤❤ history  jitna aap ashe se samja sakte shayad or koi b nhi
438,Yes human dinosaur 🦕 ka record Thor sakta  hai aagar human nature me Jada Dayan kare aur Jada pollution na felaye nature ka Dayan aur saaf rakhe to human dinosaur ka record Thor sakta hai❤❤❤😊😊😊
439,Druv sir aap Jada tar  galaxy ya universa ke bare me Jada video banna sakte ho kyuki mujhe Jada tar galaxy ke bare me jana aur samajna in chizo me   interest hai 😊😊
440,I m big fan of dhruv rathi sir ❤
441,"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=1370"">22:50</a>  0.3 Million saal me hi Insaan khatam ho jane chahiye bcoz me nahi chahta mere marne ke bad bhi insaan zinda rahe😂😂😂"
442,"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=1370"">22:50</a>  0.3 Million saal me hi ho jana chahiye kyuki me nahi chahta mere marne ke bad bhi insaan bahot salo tak zinda rahe😂"
443,"As much as it&#39;s sounds interesting the only thing here I can relate is when you believe there&#39;s a God who let this happen, there is no life by itself until someone decides there should be a breathing creature. Just imagine how can all these events happen by itself, and we as humans talk about it, it&#39;s simple God created the heavens and earth all these things evolved when he allows it to happen 🌎"
444,Y series type banai
445,2 gante ke banai
446,Karbala ke history p vedeo banai
447,I really appreciate your work. But what i believe is dinosaurs didn&#39;t exist. I dont know why.
448,Within 100 years isaano k Patan ho jayega...
449,Please make a video on bigbang theory
450,Suii
451,What makes end of Jurassic period
452,Any Jurassic park series lover here 😍🎉
453,Sir apko ek video sole par bhi banao
454,Perfact video sir nice m pakistan se hun lekin apko like krta hun
455,Sir qayamat insano samait puri dharti ko khatam kr de gi insan aik laakh saal se pehle hi khatam go jaen gay
456,bhai i want video on doomsday clock
457,Kaun kaun iss video ko 2024 ma dakh Raha ha????
458,Then what about gods existence is it true ????
459,Sure human will extinct before target year of dinosaur
460,according to AI that hole in earth would be approximately 3 km deep i dont think so their is any hole in earth 3 km deep and sooo wide
461,Huge love from 🇵🇰
462,Allah knows better ☝🏻
463,❤❤
464,Thanks sir❤
465,"Sir, Us samay bhagwan kahan rahte the ?"
466,App no zem tv❤
467,Nice video bhai hum to un ke mokabela me 1 percent bhi nahi jee payen ge. Kyu ki hum apne hi dushman hai
468,I don&#39;t find watching  his videos boring ❤🎉❤
469,Allah talah ki qudrat hai❤❤
470,Insaan dengerous animal
471,Being a neet aspirant I complete evolution chapter😂❤
472,"Sir, right now I am 18 years old, I am from Bihar, I try to learn a lot from your videos and have learned a lot, I want to improve in the field of biodiversity and nature in future. Sir please 🥺 It is with great sadness that I have to say that the way mankind plays with nature, one day it may have a negative impact on mankind. ...... आपके चरणों मैं कोटि कोटि नमन 🙏🙏🙏🙏"
473,trata aur dwaper yug kb tha......ram ji kb aaye...mahabarat kb hua😢😢😢😢😢
474,Universe ke or intersting facts janne ke liye humhare channel ko subscribe kare 🙏🙏🙏
475,I agree the polution
476,Very dangerous
477,Ek din hum sabko aur is dharti ko hamesha ke liye samapt hona hai
478,Sab Allah ki banayi hui cheez hai
479,want more videos on cosmology and universe releated topics
480,I like tanose
481,After watching this video My love for animals has increased..... Wonderful video... 🙏
482,then britishers arrived
483,Jai Shree R
484,Humans  will destroyed in 1 million
485,China made dinosaur isit true
486,Druv rati u r far better than modhi marjaa
487,👏🏼👏🏼👏🏼👏🏼thank you so much very nice video i enjoyed watching 😊
488,Dinosaurs khate kia the
489,Cockroach phle ayi thi ya dinosour
490,ना
491,"ईस दुनिया में जिसका भी राज होगा वो खतम।<br>जैसे डऐनआसओर का राज डऐनआसओरखतम।<br>वैसे इन्सान का राज इन्सान खतम।💯💯💯<br>इन्सान राज कर रहा है जैसे जानवर पर, पक्षी पर, पेड़, पानी, पर्वत , आकाश आदि"
492,Bhai meri baat suno kahana platinum insanon ko dharti per laane ja rahe the
493,I love you❤
494,"Isi topic ko school me hadd se jyada bor karke padhate hain😢😢, but he made it intresting❤"
495,1 million year phla amham khtm
496,jo huya acca hua😂
497,Par kya un dainasours ke pas ham insano jitna dimag nahi hoga jab ki vo hamse bhout jada waqt jiye hai
498,Superb video😢😢❤❤❤
499,"Ok, I agree with you but what about GOD?? is it proved that such a perfect echo system , Invironmental  system , respiration system and most important Reproduction system has evoluted by itself , I don&#39;t understand , It&#39;s amazing, just imagin how nature knows that every specie should have one pair and they have to sex to reproduce ????"
500,Qyamat bhi asy aye gi Kuch bhi nai beachy ga power of Allah
501,Tt
502,Nhi
503,"Hindu dharm dinosaur se bhi purana. Zyada tar dinosaur hindus the aur mandiron mein pooja karte the. Gau maata ko ye paalte the. Mandir vahin, crater pe hi bangega ⛳"
504,Today our Madina have those part of asteroid sent by Allah to begin Human Insurgence on earth ❤. Thats why we pray to it to give our Thankyou to bring us here.
505,1000 years me sub khatam ho jayenge😂😂😂
506,Plzz make video on Amazon forest
507,Love u Dhruv sir
508,Fact that dominat dinos ruled 170 million didn&#39;t even invent any technology alone fact that gie much potential human has
509,1450.years.muslim.hai
510,"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=1373"">22:53</a> <br>Or we&#39;ll never extinct"
511,Nice
512,Thik h bro par ye pathar KAHA se aya
513,1 million years vi nhi rahega
514,❤❤❤❤
515,Yrr Tumhari video to bas continue dekhte rhe ho ❤
516,Dainasor ki acha din kab aayega
517,I wanna meet you brother
518,King Kong story please
519,Behtareen Content ❤
520,"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=1377"">22:57</a>  nahii"
521,Meri aishwariya rai hain😂
522,Insan per search kr k btao k pahla insan Kon tha or bgair insan k kasa pada hogya
523,Good bhai 👉🌍🥰
524,excellent video
525,Thanks
526,"500 ,mili"
527,Indeed Allah is the best planner
528,Insaan prajati ke liye bhagwan ko in jaise jivo ko nastha karna jaruri pada!<br>...agar bhagwan chahe to insaano ka bhi yhi ho sakta hai 😓
529,"True, humans are real destroyer for earth"
530,"AP her cheez Kay baray may videos bamatay hay. Es phar bhi banae Kay Movies bananay walay awer en may Kam karnay walay generations ku Kitna nuqsan pohonchatay hay, crimes, nashay k tareeqay sekatay hay. Visuals insani demagh phar Kitna asar Andaz huta hay. Batao logo ko"
531,I also nature lover so we have to save our earth
532,25% ભી nahi jinda reh paege
533,thanks for birds information
534,Please make Amazon forest video
535,I think only 1 million years have humans exist in the earth
536,What is your age
537,What is your name
538,"Exa:Vilupt prajapati jaise  save  tiger,  save soil,  save girl etc."
539,"Hi im from sindh Pakistan .i realy like your every video ,the content you put into the video is just simply explained and well knowledged♥️👌"
540,"Learnings from the video - <br>1. Interesting!! <br>2. Humans are not the only reason for global warming/climate change lol.<br>3. Major predators are bound to be extinct (dinosaurs as well as humans).<br>4. Although dinosaurs got extinct because of an asteroid, humans will set a new record of extinction - self destruction. Funnily, we can protect ourselves from outside world phenomena and natural disasters with new inventions at the cost of nature. Over the years, we will be the cause for our own extinction rather than any external event."
541,G ni
542,Ek din ye duniya khatm ho jayegi....mera dil kehta hai.....
543,Please one video on Deja Vu
544,"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=1391"">23:11</a>"
545,he is my best creator and youtuber how knowledge able video he make
546,Your videos always full of knowledge... ❤ looking for more science fiction videos🎉
547,as gd as 1 sn
548,Osm video Sir
549,😮😮😮
550,Im enjoying this video like a live encyclopaedia.😊😃
551,Well I do Criticize Dhruv On his Political Videos <br>But I Love His Content &amp; All This Type Of Videos.<br>&amp; Also His Vlogs .
552,❤
553,"IN ADDITION TO THESE CONTINENTS, THERE ARE MANY OTHER LANDS AND PLANETS. SUCH AS THE MOON, THE SUN, JUPITER, MARS AND SO ON, ADAMS HAVE INHABITED THESE PLANETS ALSO. SOME OF THESE HAVE BEEN DESTROYED. IN SOME INSTANCES BY STOPPING THE SUPPLY OF OXYGEN AND IN OTHER CASES BY THE TOTAL DESTRUCTION OF THE LAND.<br>THERE IS STILL HUMAN LIFE ON MARS AND THERE IS A FIERY LIFE FORM INHABITING THE SUN.<br>OUR SCIENTISTS HAVE YET BEEN UNABLE TO REACH MARS WHEREAS THE INHABITANTS OF MARS HAVE VISITED THE EARTH ON NUMEROUS OCCASIONS AND HAVE TAKEN PEOPLE BACK WITH THEM FOR EXPERIMENTATION. THEY ARE SCIENTIFICALLY MORE ADVANCED AND THEIR INVENTIONS ARE SUPERIOR TO OURS. EVEN IF OUR SATELLITES AND SCIENTISTS REACH MARS THEY WILL BE UNABLE TO ESCAPE ONCE THEY ARE CAPTURED BY THE MARTIANS.<br>THERE WAS ONE ADAM WHO WAS ABUNDANTLY ENDOWED WITH KNOWLEDGE BY GOD. THE DESCENDANTS OF THIS ADAM ON THE BASIS OF THEIR KNOWLEDGE, WERE ABLE TO TRAVEL TO AND REACH THE REALM WHERE GOD COMMUNICATES WITH THE ANGELS AND GIVES THEM VARIOUS TASKS IN THE FORM OF COMMANDMENTS. IN OTHER WORDS WHATEVER COMMAND GOD GAVE TO<br>THE ANGELS, THESE PEOPLE WERE ABLE TO HEAR THEM. ONE DAY THE ANGELS SAID TO GOD, THAT THESE PEOPLE HAD STARTED TO INTERFERE WITH THE AFFAIRS OF THE ANGELS. FURTHER THAT WHEN THE ANGELS CAME DOWN INTO THE WORLD THESE PEOPLE WOULD ALREADY HAVE FOUND AN ALTERNATIVE SOLUTION TO THE TASK OF THE ANGELS.<br>GOD THEN COMMANDED THE ARCHANGEL GABRIEL TO GO AND TO TEST THESE PEOPLE. A TWELVE YEAR OLD BOY, WAS HERDING SOME SHEEP WHEN GABRIEL APPROACHED HIM AND SAID, “DO YOU POSSESS ANY KNOWLEDGE?” THE BOY REPLIED, “ASK ME?” GABRIEL THEN ASKED THE BOY TO TELL HIM WHERE GABRIEL WAS AT THAT TIME. THE BOY CLOSED HIS EYES AND THEN SAID THAT HE (GABRIEL) IS NOT IN THE SKIES. GABRIEL THEN ASKED, “WHERE IS HE?” THE BOY THEN SAID THAT HE (GABRIEL) IS NOT ON ANY LAND EITHER. GABRIEL ASKED, “THEN WHERE IS HE?” THE BOY OPENED HIS EYES AND SAID THAT “I HAVE LOOKED IN THE FOURTEEN REALMS AND HE IS NOWHERE TO BE FOUND, EITHER I AM GABRIEL OR YOU ARE GABRIEL.”<br>THEN GOD SAID TO THE ANGELS THAT THIS NATION BE DESTROYED BY THE FLOODS. THE PEOPLE HEARD THIS COMMAND AND STARTED TO MAKE HOMES MADE OF METAL AND GLASS. THEN THIS NATION WAS DESTROYED BY AN EARTHQUAKE. AT THAT TIME, THE REGION WAS KNOWN AS KAALDA. IT IS NOW KNOWN AS GREECE.<br>THOSE PEOPLE WITH THEIR KNOWLEDGE AND NOW OUR SCIENTISTS WITH THEIR SCIENTIFIC KNOWLEDGE, ARE INTERFERING WITH GOD’S AFFAIRS. IN ORDER TO INSTILL FEAR INTO THEM, DISASTER ON A SMALL SCALE HAS BEEN INSTIGATED AND FOR THE COMPLETE DESTRUCTION AN ASTEROID HAS BEEN SENT TOWARDS THE EARTH WHICH IS EXPECTED TO HIT THE EARTH IN ABOUT TWENTY TO TWENTY FIVE YEARS AND WHEN IT DOES, THAT WILL BE THE LAST DAY OF THE EARTH. A PART OF THAT ASTEROID HAS FALLEN ON JUPITER IN THE LAST TWO YEARS, EVEN THE SCIENTISTS ARE AWARE OF THIS.<br>THEY ARE THEREFORE WISHING TO MOVE TO THE MOON OR SOME OTHER PLANET AND THERE HAVE EVEN BEEN PLOT BOOKINGS ON THE MOON FOR THIS PURPOSE WHEN THEY KNOW THAT LIFE CANNOT BE SUPPORTED ON THE MOON AS THERE IS NO OXYGEN, WATER OR VEGETATION. THEN WHAT IS THE PURPOSE OF ALL THE FRENZIED EFFORT? AS FAR AS RESEARCH IS CONCERNED, WHAT BENEFIT HAS HUMANITY DERIVED BY REACHING THE MOON OR JUPITER? HAS ANY MEDICINE OR PRESCRIPTION BEEN DISCOVERED TO FACILITATE IMMORTALITY OR HAS A “CURE” BEEN FOUND TO PREVENT DEATH?<br>EVEN IF WE REACHED THE INHABITANTS OF MARS, THE DIFFERENCE IN OUR ATMOSPHERE AND THEIRS WOULD MAKE LIVING ON MARS VERY DIFFICULT.<br>ALL THE MONEY THAT IS BEING SPENT IN THIS REGARD IS GOING TO WASTE AND IF THE UNITED STATES AND RUSSIA WERE TO SPEND THAT MONEY ON THE POOR, THEN EVERYBODY WOULD BE BETTER OFF. THE DIFFERENCES BETWEEN HUMAN BEINGS HAVE LED TO THE CREATION OF ATOMIC BOMBS , IN ORDER TO DESTROY ONE ANOTHER, WHEN THE WORLD WILL BE DESTROYED WITHOUT THE BOMBS ANYWAY."
554,101❤❤
555,Rt
556,Khate keya the ye
557,Sir Half million bhi rah jay to bahut hai
558,27 me to duniya hi khatam hai 😂
559,I million se pehle
560,I like your all videos broo you know why because tumara video me ye bakwas dharam ka charcha Nahi hai
561,According to hadith There were only great forefathers of lizard before Adam.. the shaitan Convinced lizards to spy for him against Adam&#39;s child&#39;s ( humans) as he said that cause of Adam the Supreme God destroyed your forefathers .
562,Mast.....c banavtoy
563,2026 me duniya khatam h bhai 😂
564,2029 sal ke liye kuch bol payoge
565,Very Good 🎉
566,"Sir satyug ,dwapar yug,treta yug ke baare mein bhi ek vide bana do"
567,Bhai driveron ke liye galat Kanoon aaya  hai uske bare mein ve video bnao please bhai agar Je Kanoon pas hu gia tu ham driver mare jaenge please bhai
568,Mujhe vote mai .. mai idea 💡 dunga😅like politician
569,My don ur presentation is awesome ❤
570,Ab human sab ki bari hai..<br>Bahut raj kr liye dharti pr😅
571,"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=1381"">23:01</a>"
572,That time  how can  survive carnivores dianosoures  <br><br>Because that time only dianosoures  survive  so how can carnivores
573,Very good information brother
574,Insan kuch salo bad Earth ko he sell order lagake bech denge
575,Darwin theory is just a theory not fact🥱
576,No
577,"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=960"">16:00</a>, Dinosaurs became sparrows, now why can&#39;t sparrows become dinosaurs😅🌱"
578,Great work
579,Your video should 5 hour time table  . 😊
580,we will become extinct by the next hundred years if we don&#39;t take care of our planet. Let us all intelligent and educated people here make sure we beat the dinosaur&#39;s record on earth. 😁👍
581,लोहे का
582,विलुप्त होने
583,Dhruv you are great
584,😮
585,Allah ki qudrat
586,Dhruv rather &gt;&gt;&gt;&gt; respect
587,"This is not truth the holy Bible says the truth,,,,,,Jehova god,, created heaven and earth all leaving creature in sky and on earth and human being 6 day he created all things 7 day jehova god blessed the and completed all work and he take rest on 7 day..in holy Bible/ genises chapter 1:1,31we find the truth of jehova god the creator of heaven and earth"
588,Bhai kaha sy soch lety ho itny awla level k topics
589,To Bhai GOD ka Janam kab hua ???
590,Nice work
591,Fact: no one knows the original color of dinosaurs.
592,Dinasour ne khud ko devlop kyu nahi kiya
593,24 12 2023    🕒
594,A real content creator ❤
595,100% again astroid will come the final one
596,Aap toh the ne ...
597,Bhai tum kaha se ho .... Reply karna .<br><br>Personal
598,Daynasor se Kam hi rahenge insan daynasor gadi me ni ghumte the😂😂
599,2024. Well come too video 🎉
600,Make video about Feku Vivek Bindra
601,Subhanallah ❤️
602,Dhruv sir you have littlbit less knowledge about botany.<br>Gymnosperms are those plants which r still surviving since Jurassic period
603,No they will not beat
604,Bhi thoda sal ko thoda sahi tarike se samja sena .. million ase samaj nahi ata..
605,No words ❤️❤️❤️❤️
606,yep the lesson is clear that we all should try to save plants and species of animals.
607,NICE      VIDEO     BRO         👍
608,its depend on Allah
609,Cameraman never dies😂❤
610,❤❤❤❤
611,Dhruv&#39;s laugh after chicken n terax 😂😂😂😂
612,Wow 😲🎉🎉🎉
613,💀
614,Everything will be destroyed on the day of judgement
615,Sal mein 365 din hote Hain usmein 45 din Puri duniya mein lockdown hona chahie
616,Aise astornod por Ak movie bhi bna hai <br>TIK TIK TIK ❤❤❤
617,"We have already lost many things; an example of this can be seen in the fact that 20 years ago, there used to be a lot more rainfall, but now it has significantly reduced. Areas where there was no rain before are experiencing it, and where it used to rain, it no longer does. We need to be diligent in saving the environment."
618,Tyrenosorous<br>Carnivores<br>40 feet❎<br>20 feet✔️
619,What is the reliable source of its evidence? Or it&#39;s simply a product of presuppositions? 😅
620,l am thankful to all the good humans and other living beings for making this  to the<br>way.....💟👍👍👍👍 <br> Good video 👍👍
621,Eye opener for those who say that day of judgment will never come
622,"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=386"">6:26</a> My Name Dinosaur 😂"
623,Sir one request make video on how to make earth…please please
